10000;15
20000;24
30000;24
40000;35
50000;41
60000;40
70000;36
80000;33
90000;35
100000;82
10000;6
20000;5
30000;10
40000;13
50000;17
60000;28
70000;37
80000;31
90000;35
100000;44
10000;2
20000;5
30000;18
40000;34
50000;21
60000;41
70000;41
80000;50
90000;59
100000;54
10000;2
20000;6
30000;8
40000;11
50000;16
60000;22
70000;23
80000;31
90000;57
100000;56
10000;3
20000;18
30000;22
40000;23
50000;43
60000;43
70000;57
80000;52
90000;45
100000;49
10000;6
20000;9
30000;9
40000;12
50000;19
60000;23
70000;29
80000;33
90000;49
100000;45
10000;4
20000;5
30000;7
40000;11
50000;15
60000;19
70000;25
80000;52
90000;53
100000;59
10000;2
20000;5
30000;10
40000;13
50000;16
60000;20
70000;24
80000;29
90000;43
100000;60
10000;2
20000;4
30000;7
40000;18
50000;28
60000;21
70000;24
80000;29
90000;40
100000;44
10000;2
20000;6
30000;14
40000;15
50000;29
60000;24
70000;24
80000;28
90000;37
100000;40
10000;4
20000;11
30000;16
40000;26
50000;39
60000;50
70000;56
80000;34
90000;48
100000;43
10000;2
20000;8
30000;11
40000;16
50000;28
60000;21
70000;23
80000;31
90000;36
100000;55
10000;2
20000;5
30000;10
40000;22
50000;24
60000;21
70000;41
80000;29
90000;35
100000;41
10000;2
20000;7
30000;8
40000;13
50000;19
60000;24
70000;51
80000;46
90000;38
100000;44
10000;2
20000;6
30000;7
40000;11
50000;24
60000;35
70000;25
80000;41
90000;61
100000;48
10000;2
20000;5
30000;10
40000;12
50000;15
60000;25
70000;26
80000;41
90000;47
100000;65
10000;3
20000;13
30000;27
40000;26
50000;37
60000;45
70000;57
80000;38
90000;41
100000;58
10000;2
20000;6
30000;15
40000;15
50000;21
60000;21
70000;26
80000;51
90000;47
100000;59
10000;3
20000;5
30000;13
40000;15
50000;17
60000;26
70000;30
80000;47
90000;56
100000;43
10000;2
20000;13
30000;7
40000;14
50000;18
60000;20
70000;29
80000;44
90000;77
100000;72
10000;2
20000;4
30000;7
40000;11
50000;15
60000;20
70000;25
80000;36
90000;40
100000;62
10000;3
20000;7
30000;16
40000;12
50000;23
60000;23
70000;25
80000;29
90000;51
100000;98
10000;13
20000;10
30000;20
40000;25
50000;35
60000;21
70000;25
80000;32
90000;34
100000;56
10000;2
20000;5
30000;9
40000;11
50000;17
60000;22
70000;28
80000;50
90000;35
100000;45
10000;2
20000;6
30000;9
40000;25
50000;18
60000;19
70000;24
80000;29
90000;61
100000;41
10000;3
20000;5
30000;15
40000;20
50000;20
60000;33
70000;27
80000;41
90000;41
100000;101
10000;3
20000;4
30000;9
40000;13
50000;15
60000;23
70000;29
80000;48
90000;40
100000;61
10000;3
20000;8
30000;17
40000;11
50000;18
60000;20
70000;38
80000;36
90000;81
100000;114
10000;4
20000;9
30000;11
40000;16
50000;18
60000;20
70000;24
80000;32
90000;48
100000;40
10000;7
20000;8
30000;8
40000;14
50000;16
60000;26
70000;24
80000;30
90000;41
100000;43
10000;3
20000;18
30000;10
40000;12
50000;20
60000;21
70000;25
80000;30
90000;35
100000;46
10000;2
20000;5
30000;9
40000;16
50000;35
60000;28
70000;25
80000;49
90000;40
100000;71
10000;3
20000;10
30000;10
40000;22
50000;21
60000;19
70000;28
80000;34
90000;39
100000;48
10000;2
20000;4
30000;7
40000;21
50000;37
60000;78
70000;69
80000;76
90000;52
100000;39
10000;2
20000;5
30000;7
40000;19
50000;32
60000;43
70000;38
80000;65
90000;57
100000;124
10000;3
20000;11
30000;20
40000;28
50000;46
60000;41
70000;48
80000;117
90000;63
100000;69
10000;2
20000;5
30000;9
40000;14
50000;32
60000;55
70000;94
80000;88
90000;77
100000;52
10000;2
20000;9
30000;17
40000;25
50000;42
60000;80
70000;84
80000;63
90000;37
100000;66
10000;3
20000;4
30000;13
40000;16
50000;17
60000;25
70000;41
80000;56
90000;58
100000;73
10000;2
20000;4
30000;8
40000;5
50000;18
60000;27
70000;31
80000;39
90000;77
100000;44
10000;3
20000;5
30000;8
40000;17
50000;17
60000;22
70000;24
80000;45
90000;38
100000;63
10000;2
20000;5
30000;12
40000;24
50000;16
60000;20
70000;24
80000;36
90000;54
100000;76
10000;3
20000;5
30000;7
40000;11
50000;15
60000;22
70000;51
80000;74
90000;122
100000;99
10000;3
20000;6
30000;8
40000;12
50000;25
60000;24
70000;26
80000;29
90000;35
100000;56
10000;3
20000;5
30000;14
40000;15
50000;15
60000;42
70000;31
80000;35
90000;86
100000;168
10000;2
20000;10
30000;14
40000;15
50000;18
60000;25
70000;30
80000;39
90000;58
100000;68
10000;2
20000;6
30000;17
40000;18
50000;18
60000;24
70000;28
80000;34
90000;53
100000;43
10000;4
20000;6
30000;25
40000;28
50000;53
60000;93
70000;72
80000;150
90000;91
100000;53
10000;2
20000;7
30000;13
40000;18
50000;24
60000;30
70000;52
80000;64
90000;62
100000;64
10000;2
20000;7
30000;13
40000;12
50000;38
60000;44
70000;66
80000;64
90000;74
100000;68
